Math_Score,Science_Score,Biology_Score,Computer_Score,English_Score,Interest_Technology,Interest_Medicine,Interest_Business,Interest_Arts,Interest_Research,Logical_Thinking,Creativity,Communication_Skills,Problem_Solving,Risk_Taking,Leadership,Family_Preference,Financial_Stability_Required,Recommended_Career
83,70,61,89,45,2,1,3,4,7,4,10,0,3,5,5,1,3,General Studies
94,86,93,56,97,1,4,4,0,9,3,7,10,2,9,0,1,0,General Studies
91,96,72,76,83,7,0,9,8,9,7,6,5,6,0,5,0,2,General Studies
96,94,69,51,82,5,7,8,5,6,10,9,4,3,7,3,0,7,General Studies
42,55,56,45,91,9,4,3,6,9,7,7,9,0,4,3,0,6,General Studies
76,81,82,61,74,10,9,7,7,6,0,3,6,10,4,4,0,7,Doctor
90,69,71,71,73,6,1,7,4,6,9,1,6,7,1,8,0,10,General Studies
46,96,81,80,77,0,8,1,5,1,1,10,2,4,6,0,0,5,Doctor
60,94,90,59,95,0,1,5,6,8,2,8,6,7,4,2,1,4,General Studies
48,55,53,40,93,9,6,4,6,5,0,2,8,7,7,10,0,9,General Studies
78,51,97,93,96,1,7,1,1,1,10,10,7,4,4,3,0,8,General Studies
57,56,49,86,44,9,5,9,10,0,2,3,2,7,8,1,0,4,Software Engineer
43,55,86,92,57,2,10,3,0,10,9,6,9,6,4,8,1,8,Doctor
64,51,99,97,55,0,6,6,7,0,7,1,4,2,2,10,0,3,General Studies
99,47,90,45,47,4,10,0,4,0,3,7,7,3,1,6,0,4,Doctor
53,59,75,58,64,2,0,8,9,3,6,9,1,10,4,0,1,0,Graphic Designer
89,42,73,57,71,0,3,9,1,3,6,7,6,6,9,8,0,5,Business Manager
97,55,48,45,65,7,6,0,2,8,10,4,10,3,9,5,0,2,Research Scientist
48,69,81,84,91,10,0,4,5,0,4,8,9,5,4,1,1,10,Software Engineer
65,84,67,72,61,5,0,6,9,2,0,7,9,1,5,0,1,9,General Studies
92,62,50,62,70,8,10,7,5,2,9,0,6,1,1,5,0,1,General Studies
41,67,53,62,82,2,5,1,7,7,3,8,10,2,4,6,1,5,General Studies
59,90,78,65,49,8,3,3,4,1,6,4,7,9,0,9,1,0,General Studies
67,79,94,52,95,8,2,1,4,5,4,8,0,6,2,5,0,8,General Studies
86,93,86,46,96,0,4,3,6,10,1,8,7,2,2,6,1,4,General Studies
99,44,93,54,51,2,8,5,9,3,7,9,0,2,2,5,1,6,Doctor
46,59,58,83,92,5,9,5,4,9,1,9,2,3,2,7,0,10,General Studies
83,79,93,66,67,7,9,1,8,5,10,2,8,9,7,1,1,9,Doctor
47,95,54,65,45,3,10,10,5,4,7,7,3,5,0,8,0,8,Business Manager
86,83,67,72,98,4,9,3,6,8,10,6,9,0,5,8,1,8,Research Scientist
74,40,63,54,59,8,2,3,7,8,1,6,8,5,5,10,1,6,General Studies
53,96,47,75,44,5,4,0,4,0,10,9,0,7,0,8,0,3,General Studies
56,69,82,84,62,6,9,1,10,2,4,1,7,7,0,6,1,3,Doctor
75,60,48,94,48,6,4,2,3,0,3,1,2,5,2,8,1,6,General Studies
89,59,86,66,97,3,8,10,7,5,0,1,10,5,7,0,1,7,Doctor
79,45,72,96,98,3,10,4,9,2,7,10,6,2,5,2,1,6,Doctor
43,61,72,44,68,3,9,10,8,0,9,1,1,1,3,1,1,10,Doctor
41,57,58,41,55,10,10,7,0,5,2,3,6,6,4,10,0,9,General Studies
45,47,42,94,93,4,3,5,2,4,3,6,6,7,9,0,1,3,General Studies
93,78,49,97,85,4,0,2,3,7,3,1,8,9,2,4,0,3,General Studies
81,71,79,72,61,7,9,5,6,1,4,4,1,5,10,0,1,7,Doctor
43,72,86,55,47,8,4,6,5,7,2,6,7,4,10,2,1,8,General Studies
93,92,81,62,98,1,0,5,9,4,8,8,4,3,5,5,0,6,Graphic Designer
68,55,40,77,59,10,5,9,9,7,3,7,9,0,5,5,1,2,Software Engineer
57,51,68,94,90,6,9,5,10,9,9,8,8,8,5,2,1,9,Graphic Designer
65,77,89,55,53,0,9,0,0,3,10,6,7,10,8,3,1,0,Doctor
83,91,73,53,78,0,6,2,3,3,10,2,2,9,9,6,1,4,General Studies
73,73,90,68,76,3,0,6,5,9,3,0,2,3,10,5,0,5,General Studies
49,53,52,65,89,9,9,3,2,3,5,9,10,1,7,10,0,10,General Studies
75,75,93,74,73,6,3,3,1,10,7,6,9,3,5,1,1,8,General Studies
53,72,40,54,50,1,8,6,1,5,6,10,7,10,1,8,0,4,General Studies
70,62,73,42,93,10,0,8,9,3,3,5,8,4,3,5,0,0,General Studies
87,89,68,62,79,1,8,10,3,8,3,1,1,1,5,1,1,10,General Studies
54,84,87,68,72,0,7,1,0,8,4,0,2,6,8,6,1,10,General Studies
47,41,86,73,70,9,4,8,9,2,9,9,7,2,10,10,0,3,Software Engineer
53,80,52,72,98,1,5,2,1,6,4,3,1,7,1,10,0,1,General Studies
62,60,87,80,93,6,6,5,9,4,0,3,7,3,5,9,0,3,General Studies
99,41,88,80,83,8,3,3,1,8,7,5,4,10,9,9,0,6,Software Engineer
96,66,92,62,73,5,5,0,3,1,9,10,5,4,10,3,0,8,General Studies
79,96,68,46,89,9,6,8,3,2,4,4,9,2,9,0,0,2,General Studies
60,48,78,42,46,1,10,10,0,9,2,8,3,10,9,9,1,2,Doctor
55,40,63,97,97,9,5,5,6,4,2,7,2,4,6,8,1,10,Software Engineer
84,50,65,71,88,9,10,7,6,4,3,8,7,8,7,10,0,3,Software Engineer
57,42,56,70,93,8,5,1,9,9,6,9,8,10,8,9,1,6,Graphic Designer
86,91,46,57,62,6,1,6,10,6,4,6,7,1,4,7,1,5,General Studies
92,62,52,82,85,10,4,5,9,7,0,8,8,6,8,4,0,4,Software Engineer
63,65,44,46,95,0,2,1,9,7,4,2,0,9,8,2,0,3,General Studies
65,43,65,80,46,8,6,1,0,0,4,8,4,7,10,3,0,7,Software Engineer
64,57,88,40,93,1,3,3,10,0,5,1,6,2,6,2,1,3,General Studies
99,94,42,53,64,3,0,3,7,2,6,8,7,10,1,9,0,2,General Studies
99,45,46,91,42,8,5,2,9,0,4,5,10,3,7,7,1,6,Software Engineer
99,74,97,71,98,3,5,7,6,0,10,3,1,10,4,4,1,1,General Studies
84,61,88,45,77,2,6,6,6,9,1,10,10,9,10,10,0,3,General Studies
80,82,78,78,59,0,10,1,10,7,1,1,3,1,7,7,1,7,Doctor
68,54,92,49,73,6,7,2,5,0,3,9,6,9,1,0,0,3,General Studies
54,61,40,46,88,5,2,9,3,8,0,2,4,8,6,8,0,9,Business Manager
84,99,88,65,83,9,5,8,10,1,6,4,0,2,4,10,1,6,Business Manager
40,76,56,73,83,3,9,4,7,8,0,8,1,8,3,9,0,1,General Studies
64,91,82,69,69,5,1,1,1,6,2,6,4,6,9,2,0,10,General Studies
46,81,64,75,56,5,8,2,6,8,9,10,5,5,5,0,0,4,Research Scientist
48,51,98,60,98,3,1,7,2,2,6,10,0,10,4,2,0,3,General Studies
63,86,42,99,49,5,2,3,2,0,10,2,2,10,5,1,0,8,General Studies
40,88,54,56,74,9,9,1,6,0,5,3,5,2,8,6,0,6,General Studies
83,81,68,72,59,10,1,1,2,10,6,10,5,10,0,9,1,8,Software Engineer
47,77,92,49,57,7,8,5,4,9,4,1,6,6,10,3,0,10,Doctor
63,57,82,90,84,2,0,7,7,5,7,7,9,10,0,6,1,9,General Studies
50,84,71,86,83,3,4,6,3,6,5,5,2,2,5,2,0,6,General Studies
90,74,65,81,66,9,0,3,6,8,3,2,0,10,1,5,0,1,Software Engineer
56,69,99,90,98,0,4,1,6,5,10,4,6,5,7,6,1,1,General Studies
47,63,55,51,98,3,7,8,1,4,0,4,10,7,6,6,1,1,General Studies
74,81,64,95,88,10,7,3,7,1,1,0,2,4,5,4,0,4,Software Engineer
74,69,93,55,75,9,10,8,9,1,5,4,4,10,3,5,0,0,Doctor
72,53,67,80,62,9,7,4,9,7,3,5,3,10,8,2,1,6,Software Engineer
98,45,48,71,71,8,1,10,8,0,2,9,0,2,6,3,1,1,Software Engineer
44,42,95,54,49,7,7,10,5,7,6,9,6,5,6,10,1,3,Business Manager
81,55,95,66,50,10,4,6,4,10,6,10,3,7,4,5,1,8,General Studies
78,46,40,67,77,3,0,4,0,9,1,10,0,9,0,2,0,7,General Studies
97,91,68,56,45,6,6,1,0,10,7,10,10,2,1,6,1,9,General Studies
80,53,96,85,98,9,5,5,8,6,10,1,5,10,7,2,0,1,Software Engineer
67,48,61,98,80,2,4,6,3,6,0,2,3,10,10,8,1,3,General Studies
46,54,55,89,86,8,0,10,0,4,10,9,3,4,4,3,0,3,Software Engineer
48,60,80,97,73,9,0,5,10,2,9,4,1,8,1,1,1,1,Software Engineer
47,74,90,41,75,3,5,2,9,6,6,2,0,9,4,5,0,1,General Studies
51,41,83,75,76,1,9,9,2,6,9,4,2,9,7,8,1,4,Doctor
73,66,90,89,56,9,6,7,5,6,0,4,9,2,3,9,1,10,Software Engineer
72,41,93,46,79,4,9,2,10,10,2,7,4,10,2,9,1,3,Doctor
87,74,80,52,79,1,9,4,10,1,2,9,8,1,4,1,1,7,Doctor
94,57,46,54,93,9,0,8,7,2,9,8,6,10,6,3,0,3,General Studies
62,53,53,64,51,5,8,10,9,2,1,7,3,7,1,4,1,7,General Studies
63,59,68,62,60,10,3,4,1,3,9,2,7,6,0,8,1,4,General Studies
76,57,58,99,79,9,4,6,7,8,4,0,3,8,10,6,1,0,Software Engineer
74,49,58,61,58,0,1,10,0,9,3,2,5,3,4,4,0,8,General Studies
83,64,41,65,42,5,9,6,10,0,5,0,0,2,6,5,0,7,General Studies
79,41,80,72,57,3,7,4,1,6,1,10,5,9,7,8,1,0,General Studies
61,64,84,50,92,2,1,1,7,6,3,8,9,4,10,3,0,2,General Studies
66,93,54,49,90,1,2,4,6,10,6,2,4,10,7,1,0,2,General Studies
74,72,42,64,58,6,8,6,4,3,0,7,1,0,9,4,0,4,General Studies
40,75,50,76,86,8,1,6,9,10,10,5,0,4,8,6,1,6,Software Engineer
74,70,92,87,45,2,5,3,1,0,2,2,5,2,10,3,0,0,General Studies
76,53,85,82,55,5,3,0,8,2,0,8,10,0,10,0,0,0,Graphic Designer
86,40,69,92,47,8,6,5,4,4,1,7,1,2,0,7,1,9,Software Engineer
53,85,96,77,87,1,5,2,7,1,8,2,8,4,6,4,1,5,General Studies
42,55,79,80,57,6,9,10,3,6,9,6,8,4,9,9,1,4,Doctor
40,93,57,84,91,4,8,4,8,9,4,4,0,9,7,1,0,2,General Studies
44,85,90,63,87,4,8,3,9,9,3,1,4,7,5,2,1,2,Doctor
65,91,87,79,82,10,9,1,6,6,3,7,7,10,9,9,0,3,Doctor
94,42,41,85,78,6,3,6,1,9,7,0,3,0,3,9,0,10,General Studies
53,74,71,95,88,8,0,4,2,4,2,3,2,6,6,4,1,9,Software Engineer
78,80,47,72,88,3,1,6,1,9,3,10,4,4,2,10,1,1,General Studies
66,45,61,56,51,8,7,8,4,5,1,10,4,2,1,3,1,8,General Studies
48,64,45,63,84,10,9,3,1,0,5,3,7,3,5,8,1,3,General Studies
54,52,51,76,49,9,7,4,4,3,8,9,5,2,1,8,1,9,Software Engineer
54,92,86,96,46,8,1,8,8,3,3,4,1,7,5,7,1,2,Software Engineer
65,73,96,41,85,3,3,9,1,10,10,3,10,3,9,1,0,9,Research Scientist
81,47,79,71,94,2,0,10,8,7,5,0,0,2,2,4,1,10,General Studies
99,60,75,96,40,1,6,3,6,1,3,6,2,1,1,7,0,6,General Studies
52,73,54,99,88,8,3,4,6,0,1,9,1,2,7,7,0,8,Software Engineer
90,43,67,63,75,1,10,4,4,6,5,10,3,6,3,6,0,1,General Studies
71,64,91,48,60,5,7,7,7,5,6,1,2,5,3,3,0,5,General Studies
78,54,96,43,76,4,8,3,6,4,3,9,8,9,6,2,0,4,Doctor
88,43,88,56,91,4,8,3,5,7,10,2,4,4,7,7,0,0,Doctor
91,84,84,56,63,3,2,6,1,10,6,4,3,7,8,7,1,10,General Studies
71,99,57,92,94,5,4,10,5,1,10,7,9,10,9,9,0,6,Business Manager
43,51,41,89,64,4,5,4,1,1,7,9,8,0,7,4,0,0,General Studies
69,71,52,87,46,10,5,5,0,8,10,7,3,2,3,2,0,9,Software Engineer
76,71,84,69,81,3,9,5,8,0,2,1,5,1,1,4,1,8,Doctor
62,67,93,79,56,8,7,5,4,5,1,8,9,1,9,3,0,3,Software Engineer
78,52,54,97,68,5,5,9,9,2,4,5,0,10,4,7,0,7,Business Manager
84,70,59,50,69,10,5,4,9,4,1,8,1,0,6,1,1,0,Graphic Designer
54,53,68,60,46,9,3,4,3,7,9,3,3,4,1,10,1,4,General Studies
82,59,98,60,72,9,6,8,10,6,4,2,8,4,3,7,1,2,Business Manager
68,57,81,57,46,9,7,7,7,3,9,4,5,2,5,9,0,3,General Studies
75,68,68,94,97,2,2,3,4,7,5,4,5,8,7,5,1,3,General Studies
52,99,42,68,63,9,6,6,6,10,7,3,10,5,9,3,1,7,General Studies
71,45,58,63,50,5,2,7,2,10,5,6,8,9,5,10,1,9,General Studies
46,71,42,49,48,0,7,8,7,9,3,7,3,5,5,2,0,9,General Studies
98,68,93,84,51,4,0,4,7,10,2,4,2,9,5,9,1,2,General Studies
90,82,53,56,74,9,0,2,2,1,1,8,6,5,3,4,0,0,General Studies
61,41,79,57,43,5,5,3,8,6,0,6,6,1,2,5,0,4,General Studies
67,99,98,81,75,10,9,9,7,4,1,6,8,10,0,0,1,1,Doctor
41,62,94,87,67,7,8,5,0,10,1,7,5,9,1,0,0,10,Doctor
81,58,43,59,96,10,3,9,7,5,4,3,1,9,1,10,0,5,Business Manager
84,70,98,76,52,8,5,10,10,2,8,9,5,7,9,9,0,3,Software Engineer
96,90,99,84,62,10,4,4,3,10,0,5,7,5,6,2,1,8,Software Engineer
92,44,91,57,58,2,0,8,5,9,3,4,5,2,10,1,0,6,General Studies
45,58,50,56,81,1,5,10,9,6,9,0,8,9,5,0,1,1,General Studies
67,73,97,48,76,3,8,10,8,6,6,8,3,8,7,10,0,6,Doctor
67,49,70,53,78,7,2,2,4,1,10,1,2,1,8,7,1,9,General Studies
83,64,82,88,63,10,10,1,6,0,9,5,10,6,4,0,0,7,Doctor
83,41,71,68,55,7,2,5,0,9,2,7,4,2,10,9,0,2,General Studies
59,50,66,70,72,2,1,6,8,1,7,2,2,5,2,7,1,2,General Studies
69,89,69,43,51,3,3,4,5,7,2,4,10,4,3,4,0,10,General Studies
50,70,82,57,73,2,9,0,10,10,7,6,1,5,10,3,1,1,Doctor
97,95,41,98,46,9,2,2,3,9,1,3,1,7,7,7,1,0,Software Engineer
94,54,88,59,50,1,1,2,5,2,4,4,3,2,2,7,0,2,General Studies
67,48,48,95,70,3,0,3,4,10,3,0,2,1,1,10,1,9,General Studies
64,62,67,95,68,5,2,9,2,3,10,3,8,7,6,7,0,10,Business Manager
78,58,70,86,52,10,9,5,6,7,8,6,6,0,3,2,1,6,Software Engineer
72,48,99,82,70,10,5,4,2,2,2,9,5,1,7,7,1,10,Software Engineer
40,74,73,83,41,4,8,0,1,5,10,6,9,9,0,0,1,8,Doctor
96,60,95,48,78,2,10,5,3,1,4,9,7,0,7,3,0,8,Doctor
66,48,54,52,54,1,4,8,6,2,9,9,8,4,4,4,0,5,General Studies
96,67,87,54,96,8,2,10,4,0,8,3,2,7,1,5,0,5,General Studies
91,85,64,66,50,0,4,0,8,8,5,5,9,1,0,4,0,10,General Studies
52,90,75,54,73,8,4,7,9,3,1,4,6,3,5,4,1,4,General Studies
80,46,47,67,78,0,4,7,6,5,0,0,8,3,8,4,0,1,General Studies
42,55,48,76,43,6,6,2,8,6,10,7,0,10,8,8,0,6,General Studies
78,55,97,94,50,5,4,8,8,1,0,6,9,10,8,9,1,0,Business Manager
45,99,97,58,68,6,6,10,1,7,6,4,8,6,10,9,0,5,Business Manager
47,72,76,65,41,2,8,10,0,8,1,9,6,0,3,2,0,3,Doctor
66,43,87,91,55,2,4,7,10,9,6,9,9,8,5,1,1,2,Graphic Designer
48,43,84,65,78,10,1,2,3,10,0,6,3,2,9,9,0,10,General Studies
76,78,78,64,52,0,4,9,3,1,3,9,10,5,5,1,0,0,General Studies
72,79,71,65,76,3,7,4,1,4,9,2,5,9,4,7,0,5,General Studies
90,56,97,65,56,1,3,2,2,1,10,7,10,4,1,4,0,6,General Studies
81,76,91,85,60,9,1,4,2,10,3,4,10,3,6,4,0,10,Software Engineer
83,78,56,67,83,7,9,8,4,4,4,1,5,8,0,5,1,0,General Studies
63,99,74,88,99,2,2,3,0,6,9,1,5,10,5,8,0,10,General Studies
54,91,76,57,58,6,8,5,8,5,0,3,1,8,4,6,0,0,Doctor
98,68,58,71,46,6,8,2,7,3,6,6,4,0,4,4,0,6,General Studies
93,91,83,92,77,8,7,2,7,1,10,9,6,6,7,4,0,10,Software Engineer
71,75,68,42,47,5,7,4,2,6,1,3,5,9,8,9,0,5,General Studies
71,99,98,41,52,0,7,7,1,9,10,8,2,8,6,8,0,6,Research Scientist
63,77,46,72,76,7,7,7,0,8,10,1,10,4,9,8,0,7,Research Scientist
80,78,67,81,41,0,7,2,5,0,1,5,4,0,7,1,0,7,General Studies
91,89,48,58,80,2,0,7,9,2,7,3,7,7,1,6,1,8,General Studies
88,76,67,56,50,10,5,10,0,6,8,5,10,4,1,9,0,8,Business Manager
88,91,45,83,63,4,8,7,10,8,5,9,4,5,7,0,0,6,Graphic Designer
97,74,68,72,45,7,7,2,4,4,10,8,9,6,5,3,0,8,General Studies
91,46,97,51,65,8,2,9,8,6,0,9,2,9,7,1,1,5,Graphic Designer
51,66,56,88,46,6,10,9,10,9,0,8,8,6,8,9,0,8,Business Manager
78,67,55,95,96,8,0,1,8,6,10,8,10,6,8,8,1,10,Software Engineer
41,61,62,42,78,10,1,9,3,3,6,8,2,0,10,5,0,1,General Studies
42,53,70,82,58,2,10,1,6,4,7,2,1,6,5,3,0,10,General Studies
88,46,42,88,45,4,1,8,10,1,2,10,5,10,7,2,0,1,Graphic Designer
76,76,60,94,82,9,6,6,6,7,8,8,7,2,1,3,0,5,Software Engineer
88,61,65,65,68,7,5,5,3,0,3,2,5,4,7,1,1,2,General Studies
95,44,75,74,82,0,10,6,4,1,3,9,0,9,2,4,1,1,Doctor
56,94,81,47,78,7,1,7,10,2,2,2,7,4,0,8,0,7,General Studies
98,41,76,91,41,6,7,0,8,6,7,4,0,7,6,5,0,6,General Studies
88,66,92,75,58,0,8,7,6,5,8,5,8,6,0,1,0,7,Doctor
41,60,61,92,43,9,6,2,6,6,0,8,7,6,10,5,0,5,Software Engineer
41,93,81,93,97,9,3,2,9,10,1,0,5,5,0,8,1,8,Software Engineer
67,77,51,46,45,5,0,5,6,4,0,7,1,6,0,3,0,8,General Studies
93,54,81,85,88,0,3,3,8,3,3,3,8,6,3,0,1,1,General Studies
62,60,52,85,96,1,3,3,4,6,9,9,7,4,3,1,1,9,General Studies
76,49,50,75,76,4,7,3,5,2,6,6,3,4,9,4,1,4,General Studies
71,62,93,55,67,1,3,9,2,9,6,5,1,3,10,9,0,8,Business Manager
72,97,55,63,69,9,3,8,0,6,5,5,5,3,5,6,0,2,General Studies
40,95,47,93,46,0,1,7,10,1,10,6,0,4,9,7,1,4,General Studies
58,78,79,40,48,5,9,2,1,7,4,3,6,9,2,2,1,7,Doctor
41,44,98,88,64,7,6,0,7,5,10,5,0,8,9,8,1,1,General Studies
92,40,96,64,72,7,3,0,0,2,3,2,5,10,5,1,0,5,General Studies
83,52,79,49,40,7,10,0,9,2,7,4,4,5,6,3,0,10,Doctor
65,60,84,93,90,10,5,3,6,4,6,1,9,7,10,3,1,3,Software Engineer
71,65,98,55,45,5,2,5,4,2,10,2,2,8,0,5,0,5,General Studies
45,89,41,55,57,10,6,3,5,5,10,8,5,3,5,9,0,2,General Studies
71,84,69,97,49,2,5,10,7,1,9,5,3,6,9,5,0,5,General Studies
94,60,69,47,67,0,2,10,3,7,0,2,5,4,0,2,1,6,General Studies
43,92,51,68,50,1,3,2,5,10,5,1,3,3,6,8,0,9,General Studies
94,57,49,78,72,4,9,7,10,10,1,4,0,6,9,10,0,2,General Studies
50,76,83,67,40,9,4,7,2,8,3,9,4,2,4,4,1,4,General Studies
95,84,50,45,52,4,8,5,6,6,4,4,7,0,9,1,1,7,General Studies
98,71,54,55,76,9,5,8,1,2,7,0,5,6,3,5,0,1,General Studies
56,75,55,59,59,0,3,9,7,10,5,2,9,8,0,2,1,6,General Studies
77,56,56,55,40,0,10,0,6,9,10,6,8,1,8,7,1,0,Research Scientist
63,74,65,46,91,8,10,7,7,3,1,8,3,6,6,2,0,6,General Studies
44,88,41,80,42,1,6,5,1,9,4,4,9,9,1,4,1,0,General Studies
91,99,89,53,57,6,1,0,2,1,4,3,8,1,3,3,1,3,General Studies
73,50,51,82,80,9,3,3,3,8,5,2,7,2,3,3,0,3,Software Engineer
45,60,90,65,53,3,4,4,8,4,0,9,2,9,7,1,0,4,Graphic Designer
61,91,65,65,70,6,3,6,4,1,7,8,5,9,1,7,0,1,General Studies
50,94,62,53,66,7,3,7,5,9,2,6,3,2,10,2,1,10,General Studies
87,92,57,46,56,4,10,8,0,5,4,6,0,3,4,3,0,5,General Studies
55,65,71,72,94,0,8,5,3,6,6,7,8,5,9,5,1,5,Doctor
72,43,88,65,85,3,10,9,3,1,2,9,3,2,7,8,0,7,Doctor
48,73,77,96,68,9,1,8,9,0,9,0,10,8,5,3,0,9,Software Engineer
99,91,96,84,75,2,5,3,7,6,5,10,4,1,3,2,1,0,General Studies
98,87,86,59,76,9,7,7,7,0,4,3,2,6,4,4,1,3,General Studies
45,99,42,42,65,4,7,2,9,2,6,4,3,5,1,8,0,1,General Studies
55,57,77,91,92,9,10,3,5,3,9,4,8,1,4,0,1,10,Doctor
68,79,42,43,56,9,6,9,7,1,10,0,6,10,2,4,0,7,General Studies
42,74,69,65,61,5,9,3,8,6,2,2,7,2,2,10,1,3,General Studies
59,80,40,50,64,1,10,5,4,4,1,1,2,5,6,3,0,7,General Studies
99,68,69,41,41,6,3,8,0,0,3,6,2,9,2,4,0,1,General Studies
98,91,84,53,94,2,6,5,0,7,2,4,6,3,3,6,1,3,General Studies
75,68,71,83,61,0,9,0,1,9,3,2,7,0,6,6,0,8,Doctor
58,77,67,69,44,9,5,4,1,6,6,10,4,0,2,6,0,4,General Studies
65,81,60,88,43,2,10,8,4,3,4,7,0,2,9,0,1,5,General Studies
42,60,97,51,75,8,5,4,6,1,3,0,2,7,9,8,1,9,General Studies
58,81,85,65,45,9,1,5,6,6,5,0,4,10,1,6,0,8,General Studies
59,52,52,83,91,10,7,2,3,10,6,5,2,3,9,3,1,8,Software Engineer
71,88,66,72,60,10,7,7,3,1,10,0,0,10,6,3,0,6,Software Engineer
46,80,75,52,52,5,10,9,10,5,4,3,6,0,4,1,0,10,Doctor
91,56,46,53,93,10,6,10,9,0,6,5,0,7,0,5,1,1,General Studies
80,95,61,63,76,5,10,3,2,6,2,0,9,9,9,9,0,6,General Studies
72,48,49,73,94,3,8,3,10,6,6,8,5,5,7,2,0,8,Graphic Designer
79,80,78,83,64,7,7,10,1,3,2,3,5,0,2,0,0,1,General Studies
78,40,92,65,65,4,8,4,2,3,5,8,6,9,10,4,0,6,Doctor
57,41,54,60,94,6,8,9,7,9,7,8,10,9,6,5,0,6,General Studies
79,99,54,67,78,8,5,8,0,4,5,5,0,5,5,10,1,2,Business Manager
40,87,43,87,59,4,1,7,3,1,9,6,10,0,9,4,1,5,General Studies
50,68,71,75,72,10,6,6,6,8,10,0,2,9,5,4,0,7,Software Engineer
67,72,62,79,53,4,2,4,4,9,2,4,8,9,7,9,1,9,General Studies
96,49,94,41,95,3,6,8,1,3,4,2,1,2,3,10,1,7,Business Manager
